epoch,loss,lr,val_loss
0,0.077273034387164652,0.01,0.046354968732560585
1,0.045180955738352055,0.01,0.031840011357651118
2,0.029542335445246502,0.01,0.035100574316511375
3,0.022963919508004048,0.01,0.044782966811057423
4,0.018713725066324422,0.01,0.045545198829376209
5,0.019334409527524174,0.01,0.014543901671443069
6,0.016395745232527018,0.01,0.018952603272178715
7,0.016390651311965015,0.01,0.012478033314889286
8,0.014962061144934412,0.01,0.016720514918802776
9,0.014322228441069349,0.01,0.015285155556181021
10,0.014412639079866006,0.01,0.034345047864300468
11,0.017291016737816103,0.01,0.013803715305675191
12,0.010446627297553053,0.01,0.0096738063212898039
13,0.012059825821098878,0.01,0.02170258004501549
14,0.012002913422926127,0.01,0.040885143297893264
15,0.011617676229679097,0.01,0.018569815046104946
16,0.010535450793846308,0.01,0.010631766507935804
17,0.010461271920225076,0.01,0.018196708756929251
18,0.0093858894587042392,0.01,0.012724353855595602
19,0.010338532624014636,0.01,0.0095208066553748843
20,0.0099123356596986113,0.01,0.0082692784279018473
21,0.009461240347322316,0.01,0.02298558337820901
22,0.0097500424755856997,0.01,0.011687461156071279
23,0.0093124596461958697,0.01,0.0073987353941676213
24,0.0086733412858076963,0.01,0.0099687556469301043
25,0.0090326098643504736,0.01,0.020328934516823084
26,0.0078696771769931444,0.01,0.0055826887221494962
27,0.0089727160466388303,0.01,0.0079938261688017008
28,0.0071499131903139468,0.01,0.006777582706458736
29,0.0072022507087006202,0.01,0.0096479754688011277
30,0.0090952550730945773,0.01,0.0044488476654678064
31,0.0067583673976753886,0.01,0.0089058570552900517
32,0.0068328065187697523,0.01,0.0068347280768797413
33,0.007606118056944936,0.01,0.0057057768749127612
34,0.0087988649587533631,0.01,0.014578451761943206
35,0.0059086226583158936,0.01,0.0048356344147274894
36,0.0077986078042733041,0.01,0.022242367588942161
37,0.0061267861355727878,0.01,0.016647445882142287
38,0.007076350460101289,0.01,0.0090376511406785216
39,0.0070240840653491296,0.01,0.010563881131030663
40,0.0055833048138179278,0.01,0.023574784398078918
41,0.0062997953432519533,0.01,0.007921802650657837
42,0.00353677252073342,0.002,0.0097294810244388744
43,0.0033789696702897025,0.002,0.0074493203268587941
44,0.0031485554506207069,0.002,0.0091821820671228981
45,0.0031216387999140555,0.002,0.0070812810479243945
46,0.002972554478097206,0.002,0.0065063584312709455
