epoch,loss,lr,val_loss
0,0.045217330308531867,0.01,0.020126115332341054
1,0.027390286535818195,0.01,0.01678149280904313
2,0.023909970610981157,0.01,0.01536266620342548
3,0.021138285005674561,0.01,0.015685118150693424
4,0.017797549403983461,0.01,0.012737036137097686
5,0.018095143511340287,0.01,0.020682949683706129
6,0.017525730395590411,0.01,0.016724241816179729
7,0.01462955747527131,0.01,0.019628494564642215
8,0.016116964515056131,0.01,0.030556090594925117
9,0.016411443907745491,0.01,0.013444775415132561
10,0.014245616087480586,0.01,0.026557876127799588
11,0.014562024889216268,0.01,0.011499873635265424
12,0.013917223858983207,0.01,0.038934692475922711
13,0.013541087375942772,0.01,0.011226570615324484
14,0.013701046866601741,0.01,0.039118219442533318
15,0.013855671829725864,0.01,0.046408862250267399
16,0.013582154998236154,0.01,0.031768247937045156
17,0.012936251488729166,0.01,0.028921335516773033
18,0.012620722081446083,0.01,0.026770718483882544
19,0.013594860872308883,0.01,0.010777753010425254
20,0.012018632656238841,0.01,0.035537701375650231
21,0.013193244109007381,0.01,0.014229679560790269
22,0.012747032435599869,0.01,0.012486064833445618
23,0.012782987050116944,0.01,0.020313428736914545
24,0.01226714811116986,0.01,0.026338509640783159
25,0.012390148550404247,0.01,0.010146333610076877
26,0.012466826878443978,0.01,0.010311551878405129
27,0.012579412816764687,0.01,0.014467385895798237
28,0.012103198206371809,0.01,0.011462072910707907
29,0.011501827784235308,0.01,0.017541017773225021
30,0.012656895851595162,0.01,0.013579307778424324
31,0.012072578370130274,0.01,0.010572744026427439
32,0.01165463711195708,0.01,0.026376670050109633
33,0.011915853734750896,0.01,0.0077132677201997247
34,0.011572153642277658,0.01,0.014102309528936648
35,0.01219115270985037,0.01,0.011947173006645233
36,0.011690721741723194,0.01,0.013757960080064436
37,0.011640991662909999,0.01,0.0099684611705445937
38,0.011622841927338635,0.01,0.013242259239998354
39,0.011938820262411994,0.01,0.010605863734980571
40,0.011324271321373843,0.01,0.0088913979314642361
41,0.01211066319767011,0.01,0.0098261305374870381
42,0.011571734035993821,0.01,0.022817832789764073
43,0.011188809412735454,0.01,0.025970190479668111
44,0.011866823726019562,0.01,0.014113268918308192
45,0.010128595064443774,0.002,0.010612165089696646
46,0.010062758949965504,0.002,0.015278212256321805
47,0.010054042741942864,0.002,0.011079552582018738
48,0.0099525280164543695,0.002,0.012638336226630669
49,0.0098278950114552618,0.002,0.012803737177463942
